,Target variable,Score
0,0,4.306501e-07
1,0,5.971592e-06
2,0,2.0577849e-07
3,0,2.5198278e-07
4,0,0.0006232989
5,0,1.4153261e-06
6,0,4.91059e-06
7,0,1.0039347e-06
8,0,5.1970574e-06
9,0,5.9913345e-06
10,0,5.653349e-06
11,0,5.609997e-06
12,0,8.8396246e-07
13,0,6.1071154e-07
14,0,7.154437e-06
15,0,1.3830069e-06
16,0,1.1864603e-06
17,0,3.2741316e-06
18,0,1.5004187e-05
19,0,0.000996331
20,0,6.8956556e-06
21,0,5.3041003e-06
22,0,2.274258e-06
23,0,2.0265497e-06
24,0,1.485662e-05
25,0,4.5425686e-06
26,0,1.6178857e-06
27,0,1.1138007e-05
28,0,3.6909762e-06
29,0,7.284122e-06
30,0,1.6852398e-06
31,0,1.657294e-07
32,0,5.168701e-06
33,0,4.3851214e-06
34,0,2.6877276e-06
35,0,2.2787533e-07
36,0,0.0018196184
37,1,0.0010096874
38,0,2.8475887e-07
39,0,1.5251615e-06
40,0,4.5594203e-07
41,0,2.4337241e-06
42,0,5.1853294e-06
43,0,1.6806656e-06
44,0,9.931217e-07
45,0,1.3497214e-07
46,0,9.328568e-08
47,0,1.4476782e-06
48,0,1.1832744e-07
49,0,7.677204e-06
50,0,4.7018157e-06
51,0,4.8255138e-06
52,0,1.4552525e-07
53,0,4.4633484e-06
54,0,1.908563e-06
55,0,5.7270677e-07
56,0,1.2377275e-07
57,0,6.605287e-07
58,0,3.8923286e-06
59,0,2.938956e-07
60,0,8.217744e-05
61,0,2.5187006e-05
62,0,5.710069e-08
63,0,4.0392483e-06
64,0,1.2356203e-06
65,0,5.7892737e-07
66,0,4.1999163e-05
67,0,2.2840954e-05
68,0,2.100016e-08
69,0,5.433859e-07
70,0,2.68501e-05
71,0,2.3248323e-05
72,0,8.987573e-05
73,0,5.184729e-05
74,0,2.7765407e-06
75,0,3.554045e-05
76,0,1.0407638e-06
77,0,6.598185e-07
78,0,2.523368e-06
79,0,4.402251e-06
80,0,1.5556564e-06
81,0,1.7216475e-07
82,0,1.1876505e-05
83,0,7.63388e-08
84,0,2.1537648e-05
85,0,0.0013766473
86,0,1.646586e-06
87,0,1.5575473e-05
88,0,8.2300284e-07
89,0,1.5780259e-05
90,0,3.7529819e-07
91,0,2.0550935e-06
92,0,6.710316e-07
93,0,4.3859934e-08
94,0,2.2440993e-06
95,0,0.00010874375
96,0,1.8243715e-07
97,0,1.5844943e-06
98,0,9.669591e-07
99,0,4.2780886e-07
100,0,1.4677209e-05
101,0,4.7954325e-07
102,0,3.9592533e-06
103,0,4.115483e-06
104,0,8.8995314e-08
105,0,1.4319835e-06
106,0,1.1324183e-07
107,0,9.093032e-06
108,0,1.4838587e-06
109,0,1.3090542e-05
110,0,1.5671978e-05
111,0,1.51553295e-05
112,0,6.945465e-05
113,0,7.663812e-05
114,0,8.420524e-08
115,0,2.8487589e-06
116,0,3.014679e-06
117,0,1.6004258e-05
118,0,4.715876e-06
119,0,7.243055e-08
120,0,9.297503e-06
121,0,1.268071e-06
122,0,2.3009709e-07
123,0,8.33e-05
124,0,3.650257e-08
125,0,4.2409747e-06
126,0,3.7459623e-07
127,0,2.5938868e-06
128,0,3.3766642e-05
129,0,2.3306264e-07
130,0,1.0150619e-06
131,0,1.7687843e-06
132,0,3.8166913e-06
133,0,7.929353e-07
134,0,5.955037e-06
135,0,4.157476e-06
136,0,1.604527e-07
137,0,6.3384516e-07
138,0,2.6752514e-05
139,0,7.571706e-07
140,0,3.5934468e-06
141,0,0.00019738142
142,0,2.5470947e-05
143,0,5.1049983e-07
144,0,3.677259e-05
145,0,2.3306682e-05
146,0,6.9645475e-06
147,0,7.8920766e-07
148,0,2.5913898e-05
149,0,3.1073062e-06
150,0,9.1413057e-07
151,0,3.6948455e-05
152,0,0.0002154669
153,0,1.4914148e-06
154,0,2.95378e-06
155,0,2.3607723e-07
156,0,0.00013590953
157,0,1.2204247e-07
158,0,4.440137e-07
159,0,0.000117924705
160,0,1.4570635e-06
161,0,2.2708098e-06
162,0,1.13873875e-05
163,0,8.668841e-05
164,0,0.00052015396
165,0,5.2038143e-07
166,0,3.8595792e-07
167,0,2.2575796e-06
168,0,2.8036677e-06
169,0,2.8337502e-06
170,0,8.686775e-07
171,0,3.8894636e-06
172,0,0.00017169706
173,0,3.5763117e-07
174,0,0.00045461897
175,0,1.1475914e-06
176,0,4.5005004e-06
177,0,1.2661677e-06
178,0,1.4737464e-05
179,0,1.5942998e-06
180,0,1.2209117e-06
181,0,2.6157797e-06
182,0,5.0695176e-06
183,0,1.6823584e-08
184,0,2.463323e-07
185,0,5.7336424e-06
186,0,0.0009365362
187,0,4.7158082e-06
188,0,5.746243e-07
189,0,7.69123e-05
190,0,3.6327347e-06
191,0,1.7640285e-05
192,0,2.9364115e-08
193,0,1.2851413e-05
194,0,2.2108043e-06
195,0,3.4235377e-08
196,0,6.1714655e-07
197,0,1.5347767e-07
198,0,2.3306138e-06
199,0,6.554478e-07
200,0,6.97092e-07
201,0,9.0938386e-07
202,0,1.4517817e-06
203,0,7.679304e-07
204,0,3.098876e-07
205,0,7.798465e-07
206,0,1.7098581e-07
207,0,4.462319e-06
208,0,8.1249965e-07
209,0,1.8751719e-07
210,0,3.0663017e-05
211,0,1.07592e-06
212,0,3.6017257e-06
213,0,7.34792e-06
214,0,2.7977037e-06
215,0,0.00017815932
216,0,1.2503881e-06
217,0,5.9630274e-06
218,0,5.1935795e-06
219,0,9.220304e-06
220,0,1.376098e-05
221,0,1.2316376e-07
222,0,3.869216e-06
223,0,1.7938858e-07
224,0,5.8022066e-05
225,0,3.8972316e-06
226,0,3.205821e-05
227,0,1.9281113e-07
228,0,8.7948894e-07
229,0,3.7844047e-06
230,0,1.5574436e-06
231,0,2.3316333e-07
232,0,4.9578434e-06
233,0,1.2765813e-07
234,0,7.7413215e-06
235,0,1.150957e-05
236,0,1.3581028e-06
237,0,5.107748e-06
238,0,5.003252e-07
239,0,8.161079e-05
240,0,5.6897993e-06
241,0,1.1628831e-06
242,0,7.719986e-06
243,0,1.05270104e-07
244,0,4.5634756e-06
245,0,2.2854368e-07
246,0,7.6621416e-07
247,0,1.2848899e-08
248,0,5.30772e-07
249,0,7.6863597e-07
250,0,5.302327e-08
251,0,9.44837e-07
252,0,6.433732e-08
253,0,1.4512471e-05
254,0,1.7809831e-06
255,0,2.0517607e-05
256,0,4.785222e-07
257,0,5.0769636e-06
258,0,1.6465232e-06
259,0,1.1779947e-05
260,0,6.8696563e-06
261,1,0.9994854
262,0,2.5254794e-06
263,0,1.3891692e-07
264,0,3.8044664e-07
265,0,4.368353e-07
266,0,4.3704406e-07
267,0,6.100008e-07
268,0,6.6406146e-06
269,0,1.711766e-05
270,0,6.10415e-06
271,0,0.0001851634
272,0,2.2175796e-07
273,0,1.7334021e-06
274,0,4.1840195e-07
275,0,1.8695413e-06
276,0,2.1812264e-07
277,0,9.726722e-05
